repeat_idx,avg_test_SR_over_windows
1,1.0370944052631388
2,0.994390216358954
3,1.0457163052682998
4,1.0059002707027653
5,1.0323993265510327
6,1.1340085678580185
7,1.1321011430619083
8,1.22112915773823
9,0.9369570403725067
