date,ensemble_ret,cum_log_ret,cum_ret
1981-01-31,-0.010745253029053266,-0.01080340017269894,-0.01074525302905327
1981-02-28,0.007462937132272845,-0.003368172976140964,-0.003362507044606722
1981-03-31,0.02493173054479428,0.021257833049520385,0.021485390380596492
1981-04-30,0.030432275416954074,0.051236232118831285,0.052571515115053646
1981-05-31,0.018947605936265273,0.07000656789940206,0.07251522540319133
1981-06-30,0.01289153193473119,0.08281571135661887,0.08634158968196193
1981-07-31,0.007112318685882474,0.08990285679359217,0.09406799726950843
1981-08-31,0.0012418429280299634,0.09114392927247843,0.09542665787470139
1981-09-30,-0.010002613693868297,0.08109095332067547,0.0844695281860155
1981-10-31,0.015215037347915529,0.09619140283145519,0.10096977256004225
1981-11-30,0.024814557685694096,0.12070307972292016,0.12828985049143893
1981-12-31,0.01605069271644282,0.13662632204047348,0.14639968417675808
1982-01-31,0.012397083332728395,0.14894719078158417,0.1606116965941109
1982-02-28,0.03628459148562287,0.1845889991013325,0.20272401787846395
1982-03-31,0.024652243825797664,0.20894227980885727,0.2323738636223469
1982-04-30,0.03335131918688123,0.24174950814509508,0.27347515770558584
1982-05-31,0.01047099906445067,0.2521660660049368,0.2868097148905222
1982-06-30,0.035084575417462134,0.2866492047629399,0.33195688738052187
1982-07-31,0.026537682593246997,0.31284087134997524,0.3673039364857156
1982-08-31,0.023281165343145893,0.335855164489484,0.3991363655053739
1982-09-30,0.08482642522471544,0.41727516193284714,0.5178201017930957
1982-10-31,0.05010481473644321,0.4661651446787566,0.593870196796688
1982-11-30,0.07332857888464028,0.5369297859465695,0.7107464332543709
1982-12-31,0.030615902926000273,0.5670863734847008,0.763122479985888
1983-01-31,0.028252019689594697,0.5949466658120869,0.8129342510056166
1983-02-28,0.06993606352543257,0.6625455587860284,0.9397237359513777
1983-03-31,0.03585554707040006,0.6977732595718596,1.0092735916693547
1983-04-30,0.03829844085903665,0.735356518269415,1.0862256374895276
1983-05-31,-0.00905996010312764,0.726255267141854,1.0673245164477505
1983-06-30,0.03289876616861211,0.7586244526402833,1.1353369423090043
1983-07-31,0.032696111907216614,0.7907974193504144,1.2051541579343534
1983-08-31,0.0338645827177708,0.8241012223704708,1.2798307833211577
1983-09-30,0.04364386905743238,0.8668195320432148,1.3793314195015296
1983-10-31,0.03066782253807469,0.8970264955790257,1.452300333234068
1983-11-30,0.017416059074344046,0.9142926332863236,1.4950097407057061
1983-12-31,0.03507926836616796,0.9487706448643597,1.5825328569761248
1984-01-31,0.015548091486104115,0.9641991032270294,1.6226863141022596
1984-02-29,0.012339630112066685,0.9764632206677901,1.6550492931182608
1984-03-31,0.027371756801121527,1.0034670693673626,1.7277226566644837
1984-04-30,0.03590152775180487,1.0387391582544545,1.8256520673219505
1984-05-31,0.03682589297200781,1.0749031784898189,1.9297092279292811
1984-06-30,0.019122801248127715,1.0938454369985509,1.9857334752097784
1984-07-31,0.030389675228283675,1.1237824931574147,2.0764689458396184
1984-08-31,0.033753974071931175,1.1569793048317203,2.1803119988705904
1984-09-30,0.026080908198633106,1.1827259063645825,2.2632574241561456
1984-10-31,0.027314532775633414,1.2096740540787605,2.352391776023588
1984-11-30,0.0410607102036989,1.2499141611308862,2.4900433632281556
1984-12-31,0.02905845017220944,1.2785584192580204,2.5914586143973715
1985-01-31,-0.027386398463205744,1.2507900228658528,2.493101497719372
1985-02-28,0.04983472962719177,1.2994227742914934,2.6671792664185556
1985-03-31,0.04418703249209462,1.3426613976031563,2.829221035818128
1985-04-30,0.03294116807931903,1.3750716336302446,2.955360049571877
