date,repeat_idx,window_idx,year,strategy_ret
1990-12-31,1,10,1990,0.10057326584942732
1991-01-31,1,11,1991,0.013035999458688012
1991-02-28,1,11,1991,0.032457234146296476
1991-03-31,1,11,1991,0.04298314595872383
1991-04-30,1,11,1991,0.04665564399475781
1991-05-31,1,11,1991,0.07639166237739999
1991-06-30,1,11,1991,0.0500773407970622
1991-07-31,1,11,1991,0.05283950724907737
1991-08-31,1,11,1991,0.03546770448333049
1991-09-30,1,11,1991,-0.004553476526183306
1991-10-31,1,11,1991,0.015432882151219131
1991-11-30,1,11,1991,-0.01089135063171884
1991-12-31,1,11,1991,0.06355597545587616
1992-01-31,1,12,1992,-0.007517294624808399
1992-02-29,1,12,1992,0.08199676498266237
1992-03-31,1,12,1992,0.06877450939997665
1992-04-30,1,12,1992,0.07144626792944403
1992-05-31,1,12,1992,0.04289742037895365
1992-06-30,1,12,1992,0.03438664631546536
1992-07-31,1,12,1992,0.04649078152099075
1992-08-31,1,12,1992,0.05268454847506835
1992-09-30,1,12,1992,0.0397059075054665
1992-10-31,1,12,1992,0.04304449289521482
1992-11-30,1,12,1992,0.017291781923141743
1992-12-31,1,12,1992,0.048820740243010904
1993-01-31,1,13,1993,0.12255021395085264
1993-02-28,1,13,1993,0.10020027270611966
1993-03-31,1,13,1993,0.04232173513831032
1993-04-30,1,13,1993,0.07174705370963515
1993-05-31,1,13,1993,0.03877715611299088
1993-06-30,1,13,1993,0.10412297529368159
1993-07-31,1,13,1993,0.05528638277464977
1993-08-31,1,13,1993,0.003113821514343428
1993-09-30,1,13,1993,-0.004464063290785676
1993-10-31,1,13,1993,0.03707283766878239
1993-11-30,1,13,1993,0.0542997707973502
1993-12-31,1,13,1993,0.04787127193141959
1994-01-31,1,14,1994,0.046972550699673016
1994-02-28,1,14,1994,0.047817070870196286
1994-03-31,1,14,1994,0.02467151628253761
1994-04-30,1,14,1994,0.051268534516045974
1994-05-31,1,14,1994,0.03891146982160273
1994-06-30,1,14,1994,0.03880122175488334
1994-07-31,1,14,1994,0.029580633599591625
1994-08-31,1,14,1994,0.04487792442451747
1994-09-30,1,14,1994,0.035967446623443394
1994-10-31,1,14,1994,0.028972118944466232
1994-11-30,1,14,1994,0.02130495522088849
1994-12-31,1,14,1994,0.07845652601680606
1995-01-31,1,15,1995,0.01834583628553186
1995-02-28,1,15,1995,0.0357096193669188
1995-03-31,1,15,1995,0.04094648358393181
1995-04-30,1,15,1995,0.038793224763137554
1995-05-31,1,15,1995,0.024015279873400214
1995-06-30,1,15,1995,0.0015216767700038376
1995-07-31,1,15,1995,0.034376953458408556
1995-08-31,1,15,1995,-0.006242657749405139
1995-09-30,1,15,1995,0.03858181595739208
1995-10-31,1,15,1995,0.051695883259201394
1995-11-30,1,15,1995,0.04123897014567253
1995-12-31,1,15,1995,0.017143847849159392
1996-01-31,1,16,1996,0.05578966587803276
1996-02-29,1,16,1996,0.013084554612843826
1996-03-31,1,16,1996,0.01814549007787168
1996-04-30,1,16,1996,0.006108178227002406
1996-05-31,1,16,1996,0.024154702409380054
1996-06-30,1,16,1996,0.09685957155281961
1996-07-31,1,16,1996,0.03975444691181524
1996-08-31,1,16,1996,0.023177004881110425
1996-09-30,1,16,1996,0.043461629094938545
1996-10-31,1,16,1996,0.07358768695498877
1996-11-30,1,16,1996,0.04462086085479605
1996-12-31,1,16,1996,0.046492274461345844
1997-01-31,1,17,1997,0.04099078960640286
1997-02-28,1,17,1997,0.07257590159186893
1997-03-31,1,17,1997,0.07271767105297168
1997-04-30,1,17,1997,0.07797028953630326
1997-05-31,1,17,1997,0.007332633841002937
1997-06-30,1,17,1997,0.05863030504315879
1997-07-31,1,17,1997,0.04004066846810608
1997-08-31,1,17,1997,0.023265772646633088
1997-09-30,1,17,1997,-0.03136748812996645
1997-10-31,1,17,1997,0.07157630347946367
1997-11-30,1,17,1997,0.10554552380451912
1997-12-31,1,17,1997,0.06625852360120887
1998-01-31,1,18,1998,0.03998696500394177
1998-02-28,1,18,1998,0.02056730455108019
1998-03-31,1,18,1998,0.007468075784795863
1998-04-30,1,18,1998,0.02889415170660139
1998-05-31,1,18,1998,0.02436624114985455
1998-06-30,1,18,1998,0.053572385145548004
1998-07-31,1,18,1998,0.022140141213288174
1998-08-31,1,18,1998,0.022249892989740214
1998-09-30,1,18,1998,0.08179464849436043
1998-10-31,1,18,1998,0.026762719404915022
1998-11-30,1,18,1998,-0.004825190112804832
1998-12-31,1,18,1998,0.07636093903119513
1999-01-31,1,19,1999,0.07072504942029842
1999-02-28,1,19,1999,0.0482839509032433
1999-03-31,1,19,1999,-0.00014708875487562558
1999-04-30,1,19,1999,0.05488308658665365
1999-05-31,1,19,1999,0.08853147234336535
1999-06-30,1,19,1999,0.0866252285593689
1999-07-31,1,19,1999,0.04187543088575548
1999-08-31,1,19,1999,0.02307439693371193
1999-09-30,1,19,1999,0.023517754761398307
1999-10-31,1,19,1999,0.054705319240408196
1999-11-30,1,19,1999,-0.03433108573396376
1999-12-31,1,19,1999,-0.07621423289296969
2000-01-31,1,20,2000,0.025851986372268407
2000-02-29,1,20,2000,-0.03964746447430539
2000-03-31,1,20,2000,0.08980956143403833
2000-04-30,1,20,2000,0.09965018157694142
2000-05-31,1,20,2000,0.10619220875022026
2000-06-30,1,20,2000,0.004905151815203542
2000-07-31,1,20,2000,0.05145382401004227
2000-08-31,1,20,2000,0.08002436064863742
2000-09-30,1,20,2000,0.017508689828979563
2000-10-31,1,20,2000,0.058751913081434314
2000-11-30,1,20,2000,0.04116312964069721
2000-12-31,1,20,2000,0.06463191514176125
2001-01-31,1,21,2001,0.02979203109218923
2001-02-28,1,21,2001,0.08492924671645463
2001-03-31,1,21,2001,0.09256250916829128
2001-04-30,1,21,2001,0.014159313899416603
2001-05-31,1,21,2001,0.037145497995124704
2001-06-30,1,21,2001,0.051277399136989775
2001-07-31,1,21,2001,0.029982561667182977
2001-08-31,1,21,2001,0.018578697111058213
2001-09-30,1,21,2001,0.11548470321151619
2001-10-31,1,21,2001,0.0018963658852127999
2001-11-30,1,21,2001,-0.09730085514939249
2001-12-31,1,21,2001,-0.004316231340040999
2002-01-31,1,22,2002,0.21892825171913766
2002-02-28,1,22,2002,0.1205262028993453
2002-03-31,1,22,2002,0.10351083450629125
2002-04-30,1,22,2002,0.11129468295928961
2002-05-31,1,22,2002,0.11710008440932174
2002-06-30,1,22,2002,-0.0119546173890753
2002-07-31,1,22,2002,-0.03819439895561577
2002-08-31,1,22,2002,0.17181420565333427
2002-09-30,1,22,2002,-0.02217986797184454
2002-10-31,1,22,2002,0.08032023211244861
2002-11-30,1,22,2002,0.04424515104582227
2002-12-31,1,22,2002,0.03970802907364679
2004-01-31,1,24,2004,0.005671887477592548
2004-02-29,1,24,2004,0.023250172943583385
2004-03-31,1,24,2004,0.02390569695770418
2004-04-30,1,24,2004,0.03763894410747282
2004-05-31,1,24,2004,0.012540519438252134
2004-06-30,1,24,2004,0.01905055692505951
2004-07-31,1,24,2004,0.024120103273584215
2004-08-31,1,24,2004,0.036317469232976636
2004-09-30,1,24,2004,0.0452077848232155
2004-10-31,1,24,2004,0.026134394054326108
2004-11-30,1,24,2004,0.10776596647775967
2004-12-31,1,24,2004,-0.008637372849010373
2005-01-31,1,25,2005,0.07531450760596238
2005-02-28,1,25,2005,0.05673025727488531
2005-03-31,1,25,2005,0.13680168356539918
2005-04-30,1,25,2005,-0.026316556537116093
2005-05-31,1,25,2005,-0.004875230952958998
2005-06-30,1,25,2005,0.052957310111544496
2005-07-31,1,25,2005,-0.005960779013940237
2005-08-31,1,25,2005,0.008888935329075637
2005-09-30,1,25,2005,0.03567152518026596
2005-10-31,1,25,2005,-0.012068910393543686
2005-11-30,1,25,2005,0.11742449105191909
2005-12-31,1,25,2005,0.041906444967581724
2006-01-31,1,26,2006,0.008972421526831151
2006-02-28,1,26,2006,-0.0010187423888279824
2006-03-31,1,26,2006,0.010460356042976437
2006-04-30,1,26,2006,0.02237369014695171
2006-05-31,1,26,2006,0.010244857398638726
2006-06-30,1,26,2006,0.03330797582537775
2006-07-31,1,26,2006,0.02387391285409076
2006-08-31,1,26,2006,0.007072879543770884
2006-09-30,1,26,2006,0.026996132960278536
2006-10-31,1,26,2006,0.02190559900571386
2006-11-30,1,26,2006,0.024421529286653764
2006-12-31,1,26,2006,0.007103626925062255
2007-01-31,1,27,2007,0.023774345858176168
2007-02-28,1,27,2007,0.025364350258397908
2007-03-31,1,27,2007,0.001601339593438528
2007-04-30,1,27,2007,0.010244123463092253
2007-05-31,1,27,2007,0.022220242793596905
2007-06-30,1,27,2007,0.03835982881733001
2007-07-31,1,27,2007,0.04229240729870482
2007-08-31,1,27,2007,0.03273636791211441
2007-09-30,1,27,2007,0.02251570895941303
2007-10-31,1,27,2007,0.006469889400296266
2007-11-30,1,27,2007,-0.003952537288121349
2007-12-31,1,27,2007,-0.005838488604972453
2008-01-31,1,28,2008,0.001874032322768576
2008-02-29,1,28,2008,0.06440123041991687
2008-03-31,1,28,2008,0.026980033476040746
2008-04-30,1,28,2008,0.0030049317055360434
2008-05-31,1,28,2008,0.051402233985696426
2008-06-30,1,28,2008,0.014574000326356855
2008-07-31,1,28,2008,-0.028691706822132984
2008-08-31,1,28,2008,0.020953578628198383
2008-09-30,1,28,2008,-0.044283107733513995
2008-10-31,1,28,2008,0.004985184732429614
2008-11-30,1,28,2008,0.006545826611518121
2008-12-31,1,28,2008,0.03360690913768528
2009-01-31,1,29,2009,0.09503052255768481
2009-02-28,1,29,2009,0.01869353570539569
2009-03-31,1,29,2009,0.049914965869337746
2009-04-30,1,29,2009,0.02969215968336698
2009-05-31,1,29,2009,0.04628734678041224
2009-06-30,1,29,2009,0.05119795748031525
2009-07-31,1,29,2009,-0.0027112377354277873
2009-08-31,1,29,2009,0.008222731972724521
2009-09-30,1,29,2009,-0.006605754339090598
2009-10-31,1,29,2009,0.04339703164490951
2009-11-30,1,29,2009,0.05715654994015871
2009-12-31,1,29,2009,-0.002463658502689609
2010-01-31,1,30,2010,0.04320918410716612
2010-02-28,1,30,2010,0.000619398729534896
2010-03-31,1,30,2010,-0.008248896252359122
2010-04-30,1,30,2010,-0.024412977766010032
2010-05-31,1,30,2010,0.034304726005070924
2010-06-30,1,30,2010,0.020625900243955542
2010-07-31,1,30,2010,0.013366054725620543
2010-08-31,1,30,2010,0.03762890355114732
2010-09-30,1,30,2010,0.0011114059714358348
2010-10-31,1,30,2010,0.023695085386127333
2010-11-30,1,30,2010,0.0015577688380933022
2010-12-31,1,30,2010,-0.030174541612326956
2011-01-31,1,31,2011,0.10904174651550323
2011-02-28,1,31,2011,0.011073698535505518
2011-03-31,1,31,2011,0.018343016073397094
2011-04-30,1,31,2011,0.011499307300495473
2011-05-31,1,31,2011,0.006426176060771616
2011-06-30,1,31,2011,0.02605434596310049
2011-07-31,1,31,2011,0.025562543262557896
2011-08-31,1,31,2011,0.03708359972110275
2011-09-30,1,31,2011,0.038844146271921114
2011-10-31,1,31,2011,-0.015809813655539365
2011-11-30,1,31,2011,0.036906766151065404
2011-12-31,1,31,2011,-0.022695845122777777
2012-01-31,1,32,2012,0.079229868030602
2012-02-29,1,32,2012,0.045828495128692075
2012-03-31,1,32,2012,0.01804522018038728
2012-04-30,1,32,2012,0.05877684179066425
2012-05-31,1,32,2012,-0.02593990130316004
2012-06-30,1,32,2012,-0.04514640250254541
2012-07-31,1,32,2012,0.004420282229204563
2012-08-31,1,32,2012,-2.824749364161317e-05
2012-09-30,1,32,2012,0.0008154666071684309
2012-10-31,1,32,2012,0.07297987914438042
2012-11-30,1,32,2012,0.0250605405431829
2012-12-31,1,32,2012,0.004376849657849123
2013-01-31,1,33,2013,0.06849907682251527
2013-02-28,1,33,2013,0.03901299243289585
2013-03-31,1,33,2013,-0.017149093669504397
2013-04-30,1,33,2013,-0.0013179322666538743
2013-05-31,1,33,2013,0.04442039644192483
2013-06-30,1,33,2013,-0.009722446588393356
2013-07-31,1,33,2013,0.02622182026297888
2013-08-31,1,33,2013,0.017580577527346875
2013-09-30,1,33,2013,0.006489460575719245
2013-10-31,1,33,2013,0.047393363945996525
2013-11-30,1,33,2013,0.00039992295655984396
2013-12-31,1,33,2013,0.005168042077981582
2014-01-31,1,34,2014,0.01303468669785171
2014-02-28,1,34,2014,0.015481388168525557
2014-03-31,1,34,2014,0.05539479358076453
2014-04-30,1,34,2014,0.01575452824853908
2014-05-31,1,34,2014,0.02573395647404028
2014-06-30,1,34,2014,-0.019605965673763392
2014-07-31,1,34,2014,0.052088721414783976
2014-08-31,1,34,2014,0.014792481379926737
2014-09-30,1,34,2014,0.047105353846349805
2014-10-31,1,34,2014,0.04009858934678258
2014-11-30,1,34,2014,0.007309159619808263
2014-12-31,1,34,2014,-0.022173702267571354
2015-01-31,1,35,2015,0.026155400725722228
2015-02-28,1,35,2015,-0.02409015546627366
2015-03-31,1,35,2015,0.007090590997741866
2015-04-30,1,35,2015,0.03545387213408522
2015-05-31,1,35,2015,0.05719575504389994
2015-06-30,1,35,2015,0.00826422597897014
2015-07-31,1,35,2015,0.061377485353522256
2015-08-31,1,35,2015,0.018047954753499712
2015-09-30,1,35,2015,0.06722164936227905
2015-10-31,1,35,2015,0.02335960548924861
2015-11-30,1,35,2015,0.04413849137194857
2015-12-31,1,35,2015,0.030126586518037887
2016-01-31,1,36,2016,0.03440197475299757
2016-02-29,1,36,2016,0.035065256657930206
2016-03-31,1,36,2016,0.02734079606377635
2016-04-30,1,36,2016,-0.05139775581975989
2016-05-31,1,36,2016,0.03848948306280774
2016-06-30,1,36,2016,0.02819289058171256
2016-07-31,1,36,2016,0.07528913509202331
2016-08-31,1,36,2016,-0.017623850591810583
2016-09-30,1,36,2016,-0.016208799367327584
2016-10-31,1,36,2016,0.015577773490922597
2016-11-30,1,36,2016,0.015513000450374797
2016-12-31,1,36,2016,0.018849885160535887
2017-01-31,1,37,2017,0.04069917048848573
2017-02-28,1,37,2017,0.02814101845694035
2017-03-31,1,37,2017,0.018531741299584976
2017-04-30,1,37,2017,0.03895870327530145
2017-05-31,1,37,2017,0.01872787876456578
2017-06-30,1,37,2017,-0.015850648740025012
2017-07-31,1,37,2017,0.024479859794673292
2017-08-31,1,37,2017,-0.007142543791880753
2017-09-30,1,37,2017,0.017829916616832246
2017-10-31,1,37,2017,0.00639711508151543
2017-11-30,1,37,2017,0.014943793659985766
2017-12-31,1,37,2017,-0.011936392567219395
2018-01-31,1,38,2018,0.011132958549206444
2018-02-28,1,38,2018,-0.02387795659297006
2018-03-31,1,38,2018,0.015007687807241548
2018-04-30,1,38,2018,-0.02941945889565928
2018-05-31,1,38,2018,-0.028320865419148723
2018-06-30,1,38,2018,0.023068298566334376
2018-07-31,1,38,2018,0.020298100689826664
2018-08-31,1,38,2018,0.010304376177260283
2018-09-30,1,38,2018,-0.022301989058584784
2018-10-31,1,38,2018,-0.046469658490775154
2018-11-30,1,38,2018,0.0029440089796872616
2018-12-31,1,38,2018,-0.05828235649706875
2019-01-31,1,39,2019,0.032442302470562956
2019-02-28,1,39,2019,0.030452613817473266
2019-03-31,1,39,2019,0.024284778888859077
2019-04-30,1,39,2019,0.03920784145015142
2019-05-31,1,39,2019,-0.016298233288240364
2019-06-30,1,39,2019,0.029850118923919707
2019-07-31,1,39,2019,0.029469541114848237
2019-08-31,1,39,2019,-0.006353940666622091
2019-09-30,1,39,2019,-0.002582486338091498
2019-10-31,1,39,2019,0.019807988678349975
2019-11-30,1,39,2019,-0.029023913852578985
2019-12-31,1,39,2019,0.007348006631988737
2020-01-31,1,40,2020,0.009803798820260636
2020-02-29,1,40,2020,-0.034870058335295516
2020-03-31,1,40,2020,-0.0563917471877935
2020-04-30,1,40,2020,0.08056050596608019
2020-05-31,1,40,2020,0.005329306107589259
2020-06-30,1,40,2020,0.03843970042062936
2020-07-31,1,40,2020,-0.02890539613453791
2020-08-31,1,40,2020,0.07205373230184378
2020-09-30,1,40,2020,0.034354642268331986
2020-10-31,1,40,2020,0.036774841078469254
2020-11-30,1,40,2020,0.012301174476478403
2020-12-31,1,40,2020,0.014198231499189636
2021-01-31,1,41,2021,0.01560634338746959
2021-02-28,1,41,2021,0.0008615058925448022
2021-03-31,1,41,2021,0.07030170004860589
2021-04-30,1,41,2021,0.08236285645478253
2021-05-31,1,41,2021,0.03264736825255245
2021-06-30,1,41,2021,0.002626652746125558
2021-07-31,1,41,2021,0.07732520983694956
2021-08-31,1,41,2021,0.007430602100991962
2021-09-30,1,41,2021,-0.0018457840176410055
2021-10-31,1,41,2021,0.0664843362776759
2021-11-30,1,41,2021,0.0593790478618943
2021-12-31,1,41,2021,0.09129107465385247
2022-01-31,1,42,2022,0.0012753801083543745
2022-02-28,1,42,2022,0.012001621465994976
2022-03-31,1,42,2022,0.0735517855641964
2022-04-30,1,42,2022,-0.005452741512964726
2022-05-31,1,42,2022,0.017386769650117716
2022-06-30,1,42,2022,-0.06949072895787371
2022-07-31,1,42,2022,0.03612168371902656
2022-08-31,1,42,2022,-0.00905487048878311
2022-09-30,1,42,2022,-0.04863959191646718
2022-10-31,1,42,2022,0.02032603461852373
2022-11-30,1,42,2022,0.03974670494561086
2022-12-31,1,42,2022,0.022729940072039125
2023-01-31,1,43,2023,0.07896087827616646
2023-02-28,1,43,2023,0.01418916625175769
2023-03-31,1,43,2023,-0.011710272708029455
2023-04-30,1,43,2023,0.04721010282381754
2023-05-31,1,43,2023,0.006856346822298897
2023-06-30,1,43,2023,0.03638992744825405
2023-07-31,1,43,2023,-0.06387732881455219
2023-08-31,1,43,2023,0.0007230325983292102
2023-09-30,1,43,2023,-0.012242825855512606
2023-10-31,1,43,2023,0.021123700122896612
2023-11-30,1,43,2023,0.08447149578948109
2023-12-31,1,43,2023,-0.004892419470082136
2024-01-31,1,44,2024,-0.013082519077523069
2024-02-29,1,44,2024,0.027527936238318534
2024-03-31,1,44,2024,0.04589653910359645
2024-04-30,1,44,2024,0.004192032375328855
2024-05-31,1,44,2024,0.08787062512183953
2024-06-30,1,44,2024,0.033755738971733715
2024-07-31,1,44,2024,0.02060090745746892
2024-08-31,1,44,2024,0.06457156637597145
2024-09-30,1,44,2024,-0.00345275088537277
2024-10-31,1,44,2024,-0.03370401993451648
2024-11-30,1,44,2024,0.05845322446412111
2024-12-31,1,44,2024,0.08098805671334085
1981-01-31,2,1,1981,-0.004214129012481542
1981-02-28,2,1,1981,0.012995140918568517
1981-03-31,2,1,1981,0.028624640191660347
1981-04-30,2,1,1981,-0.001082073315534945
1981-05-31,2,1,1981,0.006439275054500478
1981-06-30,2,1,1981,0.016439744849571065
1981-07-31,2,1,1981,0.04595478128898672
1981-08-31,2,1,1981,0.007215755226486714
1981-09-30,2,1,1981,-0.010279106698941035
1981-10-31,2,1,1981,0.005712507600576257
1981-11-30,2,1,1981,-0.011807714524092818
1981-12-31,2,1,1981,0.0004749110138603575
1982-01-31,2,2,1982,0.0025929139920552054
1982-02-28,2,2,1982,-0.0055797262026813675
1982-03-31,2,2,1982,0.01638375335686007
1982-04-30,2,2,1982,0.027702154546277988
1982-05-31,2,2,1982,-0.0003101351274522497
1982-06-30,2,2,1982,0.018422035172609687
1982-07-31,2,2,1982,0.02008820338462245
1982-08-31,2,2,1982,0.009205116792909251
1982-09-30,2,2,1982,0.04722395498741125
1982-10-31,2,2,1982,0.07024621782685495
1982-11-30,2,2,1982,0.013877328830304419
1982-12-31,2,2,1982,-0.005064417299788526
1983-01-31,2,3,1983,-0.014274194916543094
1983-02-28,2,3,1983,0.052704016048100745
1983-03-31,2,3,1983,-0.014356635474591855
1983-04-30,2,3,1983,0.03965071657854641
1983-05-31,2,3,1983,-0.004760690124695474
1983-06-30,2,3,1983,0.011152811974997316
1983-07-31,2,3,1983,0.039067142802548145
1983-08-31,2,3,1983,0.035720929651550826
1983-09-30,2,3,1983,0.03844487594561978
1983-10-31,2,3,1983,0.027419476514439673
1983-11-30,2,3,1983,-0.007514960105744544
1983-12-31,2,3,1983,0.049852865583729436
1984-01-31,2,4,1984,0.0063442369351015306
1984-02-29,2,4,1984,-0.005507720671344261
1984-03-31,2,4,1984,0.02751827370097248
1984-04-30,2,4,1984,0.029792920780481392
1984-05-31,2,4,1984,0.02586660430686822
1984-06-30,2,4,1984,0.0012221255596249164
1984-07-31,2,4,1984,0.036448936866060676
1984-08-31,2,4,1984,0.03434267756366738
1984-09-30,2,4,1984,0.009533864402085729
1984-10-31,2,4,1984,0.010548183348441063
1984-11-30,2,4,1984,0.024582554010644568
1984-12-31,2,4,1984,0.048374436231233824
1985-01-31,2,5,1985,-0.0316179039916238
1985-02-28,2,5,1985,0.03555283381339757
1985-03-31,2,5,1985,0.04349745723984367
1985-04-30,2,5,1985,0.008158076937938215
1985-05-31,2,5,1985,0.03661608594126913
1985-06-30,2,5,1985,0.012839149202837673
1985-07-31,2,5,1985,0.004013077973107169
1985-08-31,2,5,1985,0.0003098084891795098
1985-09-30,2,5,1985,0.007705465778833935
1985-10-31,2,5,1985,0.0073645125706312976
1985-11-30,2,5,1985,0.030907619751356273
1985-12-31,2,5,1985,0.0005095484443242722
1986-01-31,2,6,1986,-0.008461913936802332
1986-02-28,2,6,1986,0.025165113561295988
1986-03-31,2,6,1986,0.035365919119509696
1986-04-30,2,6,1986,0.009532870724491278
1986-05-31,2,6,1986,0.026609651005604053
1986-06-30,2,6,1986,0.03419011673522896
1986-07-31,2,6,1986,-0.0019391758033503945
1986-08-31,2,6,1986,0.038880228129531465
1986-09-30,2,6,1986,-0.023748817091718815
1986-10-31,2,6,1986,0.002998845596645182
1986-11-30,2,6,1986,0.01864477439713267
1986-12-31,2,6,1986,0.04497179138647112
1987-01-31,2,7,1987,0.05511430680804277
1987-02-28,2,7,1987,0.027218903194347152
1987-03-31,2,7,1987,0.02605635069636212
1987-04-30,2,7,1987,0.024165312138078935
1987-05-31,2,7,1987,0.011217245843845376
1987-06-30,2,7,1987,0.012353917351093691
1987-07-31,2,7,1987,0.0644178447842094
1987-08-31,2,7,1987,0.05228967609362147
1987-09-30,2,7,1987,0.01632307759575757
1987-10-31,2,7,1987,-0.0029189782308899313
1987-11-30,2,7,1987,0.018021230238918468
1987-12-31,2,7,1987,0.04480091896230965
