repeat_idx,window_idx,year,best_lambda0_idx,best_lambda2_idx,best_lambda0,best_lambda2,best_portsN,valid_SR,train_SR_full,test_SR_full
2,18,1998,1,1,0.0,1e-05,35,1.5820916207052005,1.5154200653830454,2.212535001808235
2,19,1999,1,1,0.0,1e-05,29,1.5991729082618102,1.430361478342277,0.3382775214845976
2,20,2000,3,3,0.2,1e-07,50,1.3640335563079269,1.8381470571882772,1.8461198902899876
2,21,2001,1,4,0.0,1e-08,50,1.1252760339890906,1.7876004885783496,1.0086798638335688
2,22,2002,1,4,0.0,1e-08,50,1.2605031727134277,1.7901707873715225,1.2047131883130775
2,23,2003,1,3,0.0,1e-07,50,1.1635905355860674,1.8114001245970897,1.0597632601024851
2,24,2004,1,4,0.0,1e-08,50,0.8390199488351978,1.940586502878039,0.910790528237462
2,25,2005,3,1,0.2,1e-05,5,0.8084743616876617,0.6190185283562218,0.3785389763605147
2,26,2006,3,1,0.2,1e-05,5,0.7462421218558277,0.7016016366980751,0.7268331065618446
2,27,2007,1,4,0.0,1e-08,50,0.7338029006858123,1.851613731038849,0.5759111576559456
2,28,2008,1,4,0.0,1e-08,50,0.6803266369720542,1.7724521280246877,0.6377668922225197
2,29,2009,2,4,0.1,1e-08,50,0.7075082492585507,1.7793711987710736,0.6259700293644324
2,30,2010,2,4,0.1,1e-08,43,0.9050376894839708,1.5964758502941854,1.1801543247249875
2,31,2011,2,4,0.1,1e-08,50,0.7252230372967904,1.690978022515632,0.9989343220687354
2,32,2012,1,4,0.0,1e-08,41,0.8101954993241222,1.6952099775223313,0.2007514784497435
2,34,2014,1,3,0.0,1e-07,50,0.8247721983468342,1.7487815442516732,1.067139959082837
2,35,2015,1,3,0.0,1e-07,50,0.7969642869637865,1.8387580569756024,0.7524570921371431
2,37,2017,4,2,0.3,1e-06,50,0.7433336602711951,1.611898501914134,-0.2750262089175465
2,38,2018,1,2,0.0,1e-06,50,0.6655040762409384,1.5160007926336556,-0.1057896960258733
2,39,2019,4,2,0.3,1e-06,25,0.4810046345507485,1.0326890822854011,0.1192153665203873
2,41,2021,1,1,0.0,1e-05,50,0.4852069235417106,1.2344486280276974,1.5503886375146685
2,43,2023,4,1,0.3,1e-05,48,0.5616118802177187,1.2737107774686578,0.2234598854171024
2,44,2024,4,2,0.3,1e-06,50,0.5260566295273827,1.257493811262803,0.98488803487535
3,1,1981,1,2,0.0,1e-06,38,0.964636877591059,1.2221171033630722,1.2020006012637885
3,2,1982,1,4,0.0,1e-08,50,1.1496079010048597,1.4831562074293088,1.240549019751077
3,3,1983,1,4,0.0,1e-08,50,1.099894613940532,1.5884725792934709,1.6779214624561645
3,4,1984,1,3,0.0,1e-07,50,1.0587560060361905,1.6246235085261909,1.0873319085423594
3,5,1985,1,4,0.0,1e-08,50,1.1295450089935115,1.5708733971518083,1.0194763436854908
3,6,1986,7,1,0.9,1e-05,50,1.1098276960247535,1.491089829321241,0.9357738431730412
3,7,1987,1,4,0.0,1e-08,50,1.082715078729276,1.5658174091699928,0.9537208719192226
3,8,1988,1,4,0.0,1e-08,50,0.975460393045744,1.5243379541153854,0.8287036130814059
3,9,1989,5,3,0.5,1e-07,50,0.8900840914483865,1.4929790314829332,2.353074382826592
3,10,1990,6,4,0.7,1e-08,50,0.9721802546476516,1.6379483378580268,1.4071307295175302
3,11,1991,6,4,0.7,1e-08,50,1.081985295292216,1.6074631498740115,0.7869644707074003
3,12,1992,7,4,0.9,1e-08,50,0.9514942629033964,1.624268705277674,1.0853554186386098
3,13,1993,4,2,0.3,1e-06,50,0.7546108607364803,1.6226821237330624,1.3175421593001209
3,14,1994,4,1,0.3,1e-05,50,0.8116440193542043,1.5177038172485238,2.409831039806179
3,15,1995,1,1,0.0,1e-05,50,0.9264417660737926,1.7277577108629767,1.9692557291220985
3,16,1996,1,1,0.0,1e-05,50,1.0456092511016872,1.7805137765263903,2.1275396197957046
3,17,1997,1,1,0.0,1e-05,50,1.1028332185354153,1.7399242692934789,1.4133534499599247
3,18,1998,2,4,0.1,1e-08,50,1.2718625032905335,1.8706383276521923,1.7900863581023934
3,19,1999,1,4,0.0,1e-08,50,1.3663671409444305,1.8722568057251447,1.5897607506707163
3,20,2000,2,4,0.1,1e-08,50,1.0928127412014026,1.977956261410636,1.5036111248339563
3,21,2001,2,4,0.1,1e-08,50,1.1677152235692734,1.9243292132052807,0.1523365941712751
3,22,2002,1,4,0.0,1e-08,50,1.1754536375013345,1.8035978794686915,0.2343415438196039
3,23,2003,2,4,0.1,1e-08,50,0.9673470564741063,1.903868972016629,1.821841231466944
3,24,2004,2,4,0.1,1e-08,50,0.9478022981308692,1.824349255159614,1.5533769377289832
3,25,2005,1,4,0.0,1e-08,50,0.7295006665409236,1.8849001966287768,1.3020082599865967
3,26,2006,2,4,0.1,1e-08,50,0.7422998655179386,1.965109029181654,1.3671041372904558
3,27,2007,1,4,0.0,1e-08,50,0.8680019039525805,1.774759022425769,0.532631651523403
3,28,2008,1,4,0.0,1e-08,50,0.8321101660172535,1.7949203530371167,0.1625648252129153
3,29,2009,3,2,0.2,1e-06,50,0.763276232299909,1.8801287876571529,0.8243819475704665
3,31,2011,3,2,0.2,1e-06,50,0.7124920287417037,1.848614165984975,1.0671078301445058
3,32,2012,1,3,0.0,1e-07,50,0.7314425101321113,1.9902231429168444,0.8927447684333455
3,33,2013,3,2,0.2,1e-06,50,0.7648737444442498,1.8845446157956989,0.7876851206142019
3,34,2014,2,3,0.1,1e-07,50,0.727956831552719,1.8482589908091744,0.8782074535776706
3,35,2015,1,2,0.0,1e-06,50,0.5833546697255025,1.7577846266856356,0.7665908196787883
3,36,2016,2,3,0.1,1e-07,50,0.6497814746263029,1.7884578459081977,0.6260369874183788
3,37,2017,3,4,0.2,1e-08,50,0.5835077291844215,1.7036205433133027,0.4170683352564134
3,38,2018,1,4,0.0,1e-08,50,0.6203273823600715,1.732148358501373,-0.2523192201420895
3,39,2019,3,2,0.2,1e-06,50,0.5895221077678005,1.5680772405791703,0.6003334631864009
3,40,2020,3,4,0.2,1e-08,50,0.515888760670274,1.55537626134336,0.1587803660873363
3,41,2021,4,1,0.3,1e-05,50,0.5955523283620577,1.3162940335465725,0.9203971508651704
3,42,2022,4,1,0.3,1e-05,44,0.6075098487775065,1.2523971764307458,0.3782382413114492
3,43,2023,4,1,0.3,1e-05,47,0.5608680883459274,1.281135749633891,0.4193441729663254
3,44,2024,2,4,0.1,1e-08,50,0.4410246731067695,1.2869553942777388,0.6560156112145775
4,1,1981,1,4,0.0,1e-08,36,0.419059864760666,0.7654943623991816,0.1885086163118955
4,2,1982,1,4,0.0,1e-08,50,0.3849926122476492,1.1558904240839378,1.425174929452825
4,3,1983,1,4,0.0,1e-08,50,0.4498428927430963,1.141904693951507,1.630273871841544
4,4,1984,1,1,0.0,1e-05,49,0.705422706116104,1.0979302507290178,1.3329925583361746
4,5,1985,3,4,0.2,1e-08,50,0.8550223781302012,1.1544654898279818,0.978561974077902
4,6,1986,1,4,0.0,1e-08,49,0.9174439274194996,1.2582817299870956,1.3844714729319167
4,7,1987,1,4,0.0,1e-08,50,1.063668597277831,1.2586545182349511,0.9435403775968833
4,8,1988,1,4,0.0,1e-08,47,1.031581034729911,1.2523803062018124,1.0119450081926034
4,9,1989,1,2,0.0,1e-06,37,0.9289210385888576,1.216177175381254,1.4804449255944283
4,10,1990,3,1,0.2,1e-05,50,0.9119806801048554,1.323342803128694,3.017457731825696
4,11,1991,3,4,0.2,1e-08,50,1.4208273588517906,1.4225689026454649,1.193883751450716
4,12,1992,4,1,0.3,1e-05,47,1.4095727963082465,1.3635025475980993,1.724868382730272
4,13,1993,4,1,0.3,1e-05,50,1.3857985102042705,1.358940846528436,1.250104268087041
4,14,1994,3,4,0.2,1e-08,37,1.348321433794173,1.3901154260107131,1.7040239017657073
4,15,1995,1,4,0.0,1e-08,40,1.3758560142479892,1.4847420074485826,1.0699473245116349
4,16,1996,1,1,0.0,1e-05,50,1.3028363850557738,1.4614214902091551,2.124950495260194
4,17,1997,1,4,0.0,1e-08,50,1.463458930600107,1.6915122899354813,1.845294333265636
4,18,1998,4,3,0.3,1e-07,50,1.435008836300655,1.7193538859352846,1.575765731039282
4,19,1999,1,2,0.0,1e-06,50,1.4198281513299391,1.7159605853343691,1.14620685362342
4,20,2000,1,2,0.0,1e-06,50,1.2817878386567396,1.7641065114024364,0.8874948027611678
4,21,2001,1,4,0.0,1e-08,50,1.0753803753968516,1.807712848113492,0.4025075514554964
4,22,2002,1,4,0.0,1e-08,44,1.0342510566225285,1.7583294858106115,2.2486450014734065
4,23,2003,3,2,0.2,1e-06,50,1.07270146431152,1.8217802793791724,0.9652315455949214
4,24,2004,3,3,0.2,1e-07,50,0.8868110400027945,1.89953565686376,1.0178496928304577
4,25,2005,5,4,0.5,1e-08,6,0.8474384851165555,0.7702742277558342,0.5067773742006634
4,26,2006,6,1,0.7,1e-05,7,0.8720858833254109,0.7786729656213276,0.8159994673356606
4,27,2007,7,1,0.9,1e-05,6,0.8472921378424945,0.7882650149280481,-0.1225257282561749
4,28,2008,7,1,0.9,1e-05,5,0.682630237987394,0.7406915541449772,-0.5830563777734687
4,29,2009,4,4,0.3,1e-08,50,0.6754567496766495,1.738450773075341,0.8234609824885735
4,30,2010,5,4,0.5,1e-08,43,0.7632482872257196,1.6351415849915298,0.4090474792190082
4,31,2011,6,1,0.7,1e-05,40,0.6191207713541987,1.4182097290589868,0.8448757196359695
4,32,2012,6,2,0.7,1e-06,35,0.7028893904045027,1.3579185591142895,0.6201367817529012
4,34,2014,6,2,0.7,1e-06,31,0.5978461918942836,1.225874049149623,0.5473909901097491
4,35,2015,6,1,0.7,1e-05,31,0.513674009154846,1.149810114934792,0.2564037971984121
4,36,2016,6,2,0.7,1e-06,25,0.4612003375523163,1.1134622343989875,0.939247902269923
4,37,2017,6,1,0.7,1e-05,33,0.4599393547360354,1.1401847430527767,0.71065204007562
4,38,2018,5,4,0.5,1e-08,29,0.5907794942264327,1.142187109657553,0.2264345138236277
4,42,2022,6,3,0.7,1e-07,50,0.607566470457588,1.205793563762788,0.09141892829156
4,43,2023,6,1,0.7,1e-05,50,0.5882914188587303,1.160433943879165,0.5209401422874809
4,44,2024,1,2,0.0,1e-06,50,0.5958245233868513,1.1619793108023837,1.078661713439888
5,1,1981,1,4,0.0,1e-08,27,0.5219540408751688,0.8934851571022789,1.0018636674824155
5,2,1982,1,4,0.0,1e-08,50,0.5576472260759785,1.131970445632701,1.188677118458818
5,3,1983,1,4,0.0,1e-08,50,0.6142564876637112,1.1255048473940574,1.204077715640815
5,4,1984,1,3,0.0,1e-07,50,0.6357113785304657,1.182772935072933,2.1071245175587583
5,5,1985,4,3,0.3,1e-07,50,0.8432978132215048,1.128561936831707,0.710183549339239
5,6,1986,1,4,0.0,1e-08,50,0.9559570976790368,1.17177981964991,1.8577125532218612
5,7,1987,1,4,0.0,1e-08,50,0.9989035934476064,1.157398125131899,1.340935489338353
5,8,1988,1,2,0.0,1e-06,50,1.042904442848926,1.1888663210515968,1.6341653085750354
5,9,1989,2,4,0.1,1e-08,50,1.122711997272275,1.2842580436029574,1.5951518828322884
5,10,1990,1,4,0.0,1e-08,50,1.1798356350950874,1.3126895370680989,2.275314978679599
5,11,1991,3,4,0.2,1e-08,50,1.4055484185218936,1.3583209723922678,2.023596531197376
5,12,1992,1,2,0.0,1e-06,50,1.5612421231820142,1.3043720180417049,1.4455936382871144
5,13,1993,1,4,0.0,1e-08,50,1.6023903905396155,1.367447589082283,1.6199911708344112
5,14,1994,1,1,0.0,1e-05,50,1.6261828627440182,1.3829696925783546,2.17830638440201
5,15,1995,1,1,0.0,1e-05,36,1.5576199197915344,1.262900955591141,1.7776414369436289
5,16,1996,1,1,0.0,1e-05,50,1.8624454199876876,1.5056783384749006,1.410242346712759
5,17,1997,1,1,0.0,1e-05,50,1.7845275477068852,1.5923063605810317,1.8781112276925769
5,18,1998,6,1,0.7,1e-05,50,1.7577013078750392,1.549061604801156,1.3627973887000382
5,19,1999,6,1,0.7,1e-05,50,1.7714434992530157,1.669111222076455,1.914047671178688
5,20,2000,5,1,0.5,1e-05,35,1.666990768705551,1.4665805065268116,0.9420295256783046
5,21,2001,6,1,0.7,1e-05,27,1.2701459536181123,1.3620302957132235,0.3352141172141761
5,22,2002,6,1,0.7,1e-05,34,1.0710120669397576,1.4476921463897627,0.6368004385828337
5,24,2004,5,3,0.5,1e-07,50,1.013293883842232,1.6813433518755396,0.5718378705499642
5,25,2005,1,3,0.0,1e-07,36,0.9553739377835768,1.553477038899241,0.9859852057406002
5,26,2006,1,3,0.0,1e-07,33,0.8803031825841754,1.527697266521756,0.5872670388895986
5,27,2007,4,1,0.3,1e-05,50,0.8150525600172105,1.6145162494846328,0.2211565292910107
5,28,2008,7,4,0.9,1e-08,50,0.7364204908027211,1.5679957806885036,-0.0323104356205285
5,29,2009,1,4,0.0,1e-08,50,0.6366833278240422,1.6342790955204287,0.1161156602210175
5,30,2010,6,4,0.7,1e-08,50,0.5232247445981036,1.5033642292188547,0.72521912642885
5,31,2011,7,4,0.9,1e-08,45,0.4584125848308534,1.573237663607789,1.162890694980682
5,33,2013,5,1,0.5,1e-05,30,0.4743688704446737,1.1387017350500124,0.8919300182102747
5,35,2015,5,1,0.5,1e-05,35,0.4481983555139902,1.201763512266666,0.4204406906762175
5,36,2016,4,4,0.3,1e-08,28,0.472030740158448,1.148144674713136,0.0940195523687977
5,38,2018,5,1,0.5,1e-05,46,0.5017885063416747,1.2095548441162305,-0.2317027984790825
5,39,2019,5,1,0.5,1e-05,49,0.3661614784783743,1.1488997166256942,0.2108648705938586
5,40,2020,5,1,0.5,1e-05,50,0.3452857658902718,1.111107945586122,0.6189086627602806
5,41,2021,4,3,0.3,1e-07,50,0.4723938395043331,1.1568753729192165,1.285610059321597
5,42,2022,4,4,0.3,1e-08,50,0.5499085580490137,1.0477889837408063,0.1895101696919562
5,43,2023,3,3,0.2,1e-07,50,0.5000402344910281,1.1520595983893605,0.5252066925358296
5,44,2024,1,3,0.0,1e-07,50,0.4488714579561345,1.2324474516423711,0.5134447953292874
6,1,1981,1,4,0.0,1e-08,38,0.6053886850947644,0.9099238549500992,1.0648941172062587
6,2,1982,1,4,0.0,1e-08,50,0.9760995551574434,1.3254716593854947,1.859362188389153
6,3,1983,1,4,0.0,1e-08,50,0.9099217891081558,1.5043685086087084,1.594505183879056
6,4,1984,1,4,0.0,1e-08,50,1.0708690078945724,1.5023249052596503,1.5814789828812192
6,5,1985,1,2,0.0,1e-06,50,1.1588995845404075,1.4348181774164903,2.5108913199625293
6,6,1986,2,2,0.1,1e-06,30,1.167106714385793,1.1753306475054954,1.2195534230180962
6,7,1987,1,1,0.0,1e-05,8,1.168044070792838,0.8089325234757363,0.5034469514444809
6,8,1988,1,1,0.0,1e-05,50,1.1526797950540346,1.3929189104424085,2.063555822123543
6,9,1989,1,1,0.0,1e-05,32,1.2514016086146462,1.2189507596555935,1.4587413272377925
6,10,1990,1,4,0.0,1e-08,12,1.2241076406365747,0.9335353671570956,1.6117718910367085
6,11,1991,1,4,0.0,1e-08,21,1.23277526655632,1.059311540018727,1.4470493285312438
6,12,1992,3,4,0.2,1e-08,20,1.3506337553799312,1.117285245452631,1.3544331707626482
6,13,1993,1,1,0.0,1e-05,16,1.1650833452025149,1.0107792725276996,1.5618344106841986
6,14,1994,1,1,0.0,1e-05,28,1.3700475352182444,1.261360212839519,3.505984892886241
6,15,1995,4,1,0.3,1e-05,46,1.4736028860809116,1.4893574145797597,0.98643501713959
6,16,1996,4,4,0.3,1e-08,23,1.5218282854803329,1.2714527662886863,1.85649052415628
6,17,1997,1,1,0.0,1e-05,31,1.5911921326511331,1.510582873821298,1.990346067421803
6,18,1998,1,2,0.0,1e-06,29,1.6179107472396546,1.5195830199247264,3.4601770299537438
6,19,1999,5,4,0.5,1e-08,50,1.5594818140986109,1.818309794482916,0.58813020530469
6,20,2000,1,4,0.0,1e-08,50,1.0385385580521946,2.043462556429087,1.2067437615112315
6,21,2001,1,1,0.0,1e-05,5,0.7753842610056405,0.9779378957955792,0.8887347028618393
6,22,2002,5,1,0.5,1e-05,7,0.9278302941865828,0.9643242335759304,0.771495413862171
6,23,2003,4,1,0.3,1e-05,5,0.8696465540800288,0.8240105968548115,0.976656553479499
6,24,2004,4,2,0.3,1e-06,7,0.8259336832608263,0.8640965530588611,1.1162802536643897
6,25,2005,3,1,0.2,1e-05,5,0.8035095886112381,0.8424403728779021,0.4281815316818241
6,26,2006,5,1,0.5,1e-05,5,0.7624500253365041,0.8017376952265997,0.9872508930947242
6,27,2007,1,1,0.0,1e-05,5,0.6485535597782732,0.8535413088360004,-0.0561028709136939
6,28,2008,5,1,0.5,1e-05,5,0.5571578627668592,0.7472874316655371,-0.2566063794960618
6,29,2009,3,4,0.2,1e-08,50,0.5566080843091336,1.7575807247622983,0.796274161170444
6,30,2010,2,2,0.1,1e-06,50,0.8549231751220484,1.7383116810374843,1.0698957762699146
6,31,2011,1,1,0.0,1e-05,50,0.7738852366064373,1.7098898633161197,0.921956657826686
6,32,2012,5,1,0.5,1e-05,50,0.758117608187428,1.7116048940352715,1.086322488881575
6,33,2013,5,2,0.5,1e-06,50,0.7365972306361592,1.6639339338969896,0.9361991617646178
6,34,2014,5,2,0.5,1e-06,50,0.6715949705858413,1.63839781658027,1.4281091141773072
6,35,2015,4,4,0.3,1e-08,50,0.6945982040044665,1.6378727177722603,0.6080220593372266
6,36,2016,4,4,0.3,1e-08,50,0.7352452823998306,1.6308861804644463,0.1180568411807325
6,37,2017,4,4,0.3,1e-08,50,0.6462061645977601,1.4860025457513677,0.147426078841468
6,38,2018,4,3,0.3,1e-07,50,0.6363633081549882,1.36225440651424,0.1130514154076981
6,39,2019,4,3,0.3,1e-07,50,0.5785029622739156,1.3472303404291854,0.1173102496216642
6,41,2021,1,4,0.0,1e-08,50,0.541177258258467,1.3964055142225489,1.6250894183754838
6,42,2022,4,2,0.3,1e-06,50,0.5588699390199025,1.3003414709562349,0.4790252003695174
6,43,2023,4,3,0.3,1e-07,50,0.5370371856874138,1.2799788995772587,0.4161262431061625
6,44,2024,1,1,0.0,1e-05,50,0.5238815807310783,1.2643541193075225,0.6177878377991038
7,1,1981,1,4,0.0,1e-08,40,0.3335712431456752,0.7134779489483141,0.369208903721901
7,2,1982,1,3,0.0,1e-07,50,0.5448328090606459,1.0152969244261414,1.0819635979661668
7,3,1983,1,4,0.0,1e-08,50,0.5417877775622651,1.035627199096423,1.7590039745219797
7,4,1984,1,2,0.0,1e-06,50,0.6784379945325902,1.081104193018272,2.3301897980646054
7,5,1985,1,1,0.0,1e-05,26,0.8190090420364534,0.9218373725878068,2.115240348762392
7,6,1986,1,1,0.0,1e-05,26,0.8989246176281779,0.9442395803521292,1.7300806560427442
7,7,1987,3,2,0.2,1e-06,50,1.0166339518014222,1.1565787545339208,0.8956641948321087
7,8,1988,1,4,0.0,1e-08,50,1.0590259436759657,1.179979686526713,1.7928401253127937
7,9,1989,1,4,0.0,1e-08,50,1.1760401438945705,1.2124576808238836,1.7440545766830238
7,10,1990,1,4,0.0,1e-08,50,1.1974541139245083,1.255323006322728,2.345625786671017
7,11,1991,3,4,0.2,1e-08,50,1.2767507370121796,1.325191766792121,1.5287375638296
7,12,1992,3,1,0.2,1e-05,45,1.5735254878309888,1.284041480229568,1.6623656914368945
7,13,1993,1,1,0.0,1e-05,50,1.7700264118769746,1.3347520886018314,1.5767864195518049
7,14,1994,1,1,0.0,1e-05,50,1.881268957769877,1.4362937611411457,2.627750622619825
7,15,1995,1,1,0.0,1e-05,32,1.869606100835091,1.3642244207826544,1.3627803257379385
7,16,1996,1,1,0.0,1e-05,45,1.8049695785812605,1.492169891016701,1.2111863227895991
7,17,1997,1,1,0.0,1e-05,50,1.6552393748732763,1.667580607774339,1.6838398079145669
7,18,1998,1,1,0.0,1e-05,31,1.5369045903903522,1.4551159073002884,1.8623789355825529
7,19,1999,1,2,0.0,1e-06,24,1.51974288132625,1.4342842837298098,0.1647738777141018
7,20,2000,6,3,0.7,1e-07,9,1.0884164475365217,1.1669218897182256,2.351188407623188
7,21,2001,6,3,0.7,1e-07,8,1.142810321937539,1.1326368793361274,0.9194294912874172
7,22,2002,6,2,0.7,1e-06,7,0.9811988797165344,1.1168966006016248,0.6660236273061716
7,23,2003,6,2,0.7,1e-06,7,0.9340337885424522,1.0339350029029484,0.892082711123088
7,24,2004,6,2,0.7,1e-06,10,0.942630634790804,1.1350394353144015,1.232157862759182
7,25,2005,6,1,0.7,1e-05,7,0.947223072145364,0.946820247231618,0.820998817733849
7,26,2006,6,3,0.7,1e-07,6,0.8902626874585553,1.0586009066037532,0.8291214639820196
7,29,2009,3,4,0.2,1e-08,5,0.616712484990715,0.948456364103845,0.8247851311724377
7,30,2010,6,3,0.7,1e-07,12,0.7358321105433112,1.0953539386216111,0.6597576166726972
7,31,2011,7,1,0.9,1e-05,11,0.6355142391205557,1.0086445358260652,0.5947651946340479
7,32,2012,6,1,0.7,1e-05,45,0.7440292880255805,1.625103199022703,1.2465381964608488
7,33,2013,7,1,0.9,1e-05,32,0.8006069492532742,1.4158577467247415,0.9358758365301668
7,34,2014,6,1,0.7,1e-05,28,0.7801748150035391,1.3942688428147632,1.12451078421924
7,35,2015,4,1,0.3,1e-05,32,0.7477045971240845,1.4208776878521958,0.4185084442246746
7,36,2016,6,1,0.7,1e-05,49,0.7085661383790374,1.4751399863178547,0.2166869251036911
7,37,2017,7,1,0.9,1e-05,50,0.6293945238763508,1.5884578210373443,0.1911459878073836
7,38,2018,7,2,0.9,1e-06,50,0.6338218876906957,1.4282540348614785,-0.130773818062581
7,39,2019,6,2,0.7,1e-06,50,0.5611368948671818,1.3579877307009045,0.2485559966690465
7,40,2020,6,2,0.7,1e-06,50,0.5045769751143754,1.247209692179401,0.6038333747555923
7,41,2021,5,3,0.5,1e-07,50,0.5545273005784537,1.302902103559351,1.397521539359787
