metric,value
rolling_oos_sharpe,0.12057254557238725
mean_ls_return,0.002818834929287122
std_ls_return,0.0809863521168495
n_periods,624.0
train_years,5.0
test_years,1.0
n_jobs,4.0
n_total_windows,69.0
n_successful_windows,52.0
